rank  name                                               task     enc_pool      dec_pool      accuracy    macro_f1    val_file           notes
----  -------------------------------------------------  -------  ------------  ------------  ----------  ---------  -----------------  ------------------------------------------------
1     weightedclasses_clarity_masked_mean_masked_mean    clarity  masked_mean   masked_mean     0.500000   0.493568  val_epoch_5.json   Matched best_macro_f1
2     weightedclasses_clarity_masked_mean_last_non_pad   clarity  masked_mean   last_non_pad    0.555072   0.487170  val_epoch_2.json   Matched best_macro_f1
3     weightedclasses_clarity_masked_mean_max            clarity  masked_mean   max             0.546377   0.486028  val_epoch_3.json   Matched best_macro_f1
4     weightedclasses_clarity_cls_masked_mean            clarity  cls           masked_mean     0.523188   0.479492  val_epoch_3.json   Matched best_macro_f1
5     weightedclasses_clarity_cls_max                    clarity  cls           max             0.542029   0.469624  val_epoch_3.json   Matched best_macro_f1
6     weightedclasses_clarity_last_non_pad_last_non_pad  clarity  last_non_pad  last_non_pad    0.531884   0.466605  val_epoch_3.json   Matched best_macro_f1
7     weightedclasses_clarity_max_masked_mean            clarity  max           masked_mean     0.566667   0.466442  val_epoch_4.json   Matched best_macro_f1
8     weightedclasses_clarity_last_non_pad_masked_mean   clarity  last_non_pad  masked_mean     0.534783   0.464453  val_epoch_3.json   Matched best_macro_f1
9     weightedclasses_clarity_cls_last_non_pad           clarity  cls           last_non_pad    0.515942   0.455609  val_epoch_5.json   Matched best_macro_f1
10    weightedclasses_clarity_max_last_non_pad           clarity  max           last_non_pad    0.481159   0.450234  val_epoch_5.json   Matched best_macro_f1
11    weightedclasses_clarity_last_non_pad_max           clarity  last_non_pad  max             0.537681   0.442299  val_epoch_3.json   Matched best_macro_f1
12    weightedclasses_clarity_max_max                    clarity  max           max             0.592754   0.435546  val_epoch_3.json   Matched best_macro_f1
13    weightedclasses_evasion_masked_mean_last_non_pad   evasion  masked_mean   last_non_pad    0.295652   0.260115  val_epoch_5.json   Matched best_macro_f1
14    weightedclasses_evasion_last_non_pad_last_non_pad  evasion  last_non_pad  last_non_pad    0.284058   0.247763  val_epoch_5.json   Matched best_macro_f1
15    weightedclasses_evasion_cls_masked_mean            evasion  cls           masked_mean     0.281159   0.238125  val_epoch_4.json   Matched best_macro_f1
16    weightedclasses_evasion_cls_last_non_pad           evasion  cls           last_non_pad    0.260870   0.237696  val_epoch_5.json   Matched best_macro_f1
17    weightedclasses_evasion_masked_mean_masked_mean    evasion  masked_mean   masked_mean     0.286957   0.230609  val_epoch_5.json   Matched best_macro_f1
18    weightedclasses_evasion_cls_max                    evasion  cls           max             0.259420   0.215301  val_epoch_4.json   Matched best_macro_f1
19    weightedclasses_evasion_max_masked_mean            evasion  max           masked_mean     0.265217   0.198098  val_epoch_4.json   Matched best_macro_f1
20    weightedclasses_evasion_max_last_non_pad           evasion  max           last_non_pad    0.263768   0.197805  val_epoch_4.json   Matched best_macro_f1
21    weightedclasses_evasion_last_non_pad_masked_mean   evasion  last_non_pad  masked_mean     0.265217   0.188676  val_epoch_4.json   Matched best_macro_f1
22    weightedclasses_evasion_last_non_pad_max           evasion  last_non_pad  max             0.231884   0.175424  val_epoch_4.json   Matched best_macro_f1
23    weightedclasses_evasion_max_max                    evasion  max           max             0.252174   0.137426  val_epoch_4.json   Matched best_macro_f1
24    weightedclasses_evasion_masked_mean_max            evasion  masked_mean   max                   NA         NA  NA                 Missing summary.json
